location_id,location_name,province,season,season_type,crop_type,lat,lon,ndvi,evi,ndwi,ndre,lai,bsi,ndvi_std,ndvi_min,ndvi_max,temp_celsius,rainfall_mm,soil_moisture,crop_stress_label
PB01,Lahore,Punjab,Kharif_2015,kharif,wheat,31.5204,74.3587,0.3346,0.2064,-0.3656,0.349,1.673,0.0376,0.0154,0.3192,0.35,26.6,280.6,19.6,Healthy
PB08,Sargodha,Punjab,Kharif_2015,kharif,wheat,32.0836,72.6711,0.213,0.1378,-0.2832,0.2454,1.065,0.1033,0.0201,0.188,0.2392,29.2,328.7,20.8,Healthy
PB02,Faisalabad,Punjab,Kharif_2015,kharif,cotton,31.4187,73.0791,0.19,0.115,-0.261,0.2197,0.95,0.1059,0.0627,0.0628,0.221,29.1,234.7,21.2,Stressed
PB12,Sheikhupura,Punjab,Kharif_2015,kharif,rice,31.7167,73.985,0.2388,0.1502,-0.3018,0.2651,1.194,0.0892,0.036,0.1868,0.2943,30.7,296.7,20.6,Healthy
PB14,Pakpattan,Punjab,Kharif_2015,kharif,cotton,30.3436,73.3873,0.1715,0.1268,-0.2421,0.1882,0.857,0.1132,0.015,0.1565,0.1865,30.6,327.2,21.4,Stressed
PB18,Chiniot,Punjab,Kharif_2015,kharif,sugarcane,31.7192,72.9783,0.1626,0.1068,-0.2459,0.2014,0.813,0.1154,0.0204,0.1365,0.1933,31.3,337.8,21.4,Stressed
PB13,Okara,Punjab,Kharif_2015,kharif,wheat,30.8107,73.4597,0.1569,0.1093,-0.2388,0.1711,0.785,0.1296,0.0099,0.147,0.1668,33.4,220.5,21.5,Stressed
PB22,Kasur,Punjab,Kharif_2015,kharif,rice,31.1181,74.4503,0.1655,0.1022,-0.2498,0.1738,0.828,0.1408,0.0078,0.1577,0.1734,27.9,361.9,21.3,Stressed
PB02,Faisalabad,Punjab,Rabi_2016,rabi,cotton,31.4187,73.0791,0.1646,0.091,-0.2291,0.1665,0.823,0.089,0.0364,0.1202,0.2173,18.8,129.3,21.6,Stressed
PB07,Bahawalpur,Punjab,Rabi_2016,rabi,cotton,29.3956,71.6836,0.2115,0.1335,-0.2807,0.2153,1.058,0.0965,0.0236,0.1879,0.2352,21.3,128.7,20.9,Healthy
PB08,Sargodha,Punjab,Rabi_2016,rabi,wheat,32.0836,72.6711,0.1864,0.1072,-0.2644,0.1863,0.932,0.0979,0.0389,0.1489,0.2458,19.1,127.9,21.1,Stressed
PB04,Gujranwala,Punjab,Rabi_2016,rabi,rice,32.1877,74.1945,0.1754,0.111,-0.2391,0.1756,0.877,0.0858,0.0271,0.1444,0.2077,19.1,106.8,21.5,Stressed
PB01,Lahore,Punjab,Rabi_2016,rabi,wheat,31.5204,74.3587,0.2122,0.1317,-0.2666,0.225,1.061,0.0741,0.038,0.1611,0.2691,18.6,68.0,21.1,Healthy
PB09,Sahiwal,Punjab,Rabi_2016,rabi,sugarcane,30.6706,73.1064,0.2741,0.1597,-0.325,0.2773,1.371,0.0523,0.0275,0.248,0.3123,20.9,136.9,20.2,Healthy
PB06,Sialkot,Punjab,Rabi_2016,rabi,rice,32.4945,74.5229,0.1404,0.089,-0.1987,0.1473,0.702,0.0902,0.0259,0.1062,0.1761,17.4,114.4,22.1,Diseased
PB03,Multan,Punjab,Rabi_2016,rabi,wheat,30.1978,71.4711,0.0949,0.0605,-0.1812,0.0983,0.475,0.1176,0.0081,0.0868,0.1031,19.5,96.0,22.3,Diseased
PB10,Rahim Yar Khan,Punjab,Rabi_2016,rabi,cotton,28.4202,70.2952,0.1586,0.1026,-0.2535,0.1549,0.793,0.1159,0.0268,0.1267,0.1948,18.9,110.3,21.3,Stressed
PB15,Attock,Punjab,Rabi_2016,rabi,wheat,33.7667,72.3667,0.2579,0.1488,-0.3293,0.2619,1.289,0.0816,0.0433,0.2059,0.3077,20.2,139.8,20.2,Healthy
PB16,Bahawalnagar,Punjab,Rabi_2016,rabi,cotton,29.9958,73.2531,0.161,0.1091,-0.2363,0.1639,0.805,0.1076,0.0211,0.1384,0.1923,17.9,105.5,21.5,Stressed
PB11,Jhang,Punjab,Rabi_2016,rabi,wheat,31.2681,72.3181,0.1744,0.1023,-0.247,0.1717,0.872,0.088,0.05,0.1744,0.1744,15.3,129.2,21.4,Stressed
PB13,Okara,Punjab,Rabi_2016,rabi,wheat,30.8107,73.4597,0.1294,0.0826,-0.2166,0.1324,0.647,0.1287,0.0222,0.0932,0.1589,18.9,154.8,21.8,Diseased
PB17,Chakwal,Punjab,Rabi_2016,rabi,wheat,32.9328,72.8553,0.1847,0.1132,-0.2513,0.1811,0.923,0.103,0.0003,0.1844,0.185,17.3,114.9,21.3,Stressed
PB14,Pakpattan,Punjab,Rabi_2016,rabi,cotton,30.3436,73.3873,0.1544,0.1085,-0.2269,0.1634,0.772,0.1118,0.0288,0.1128,0.1999,18.1,103.9,21.7,Stressed
PB12,Sheikhupura,Punjab,Rabi_2016,rabi,rice,31.7167,73.985,0.1928,0.1201,-0.261,0.1949,0.964,0.0878,0.0422,0.1203,0.2737,21.6,106.5,21.2,Stressed
PB18,Chiniot,Punjab,Rabi_2016,rabi,sugarcane,31.7192,72.9783,0.1534,0.0854,-0.2361,0.1567,0.767,0.1045,0.0299,0.1226,0.2013,15.7,84.6,21.5,Stressed
