location_id,partition
BL01,test
BL02,train
BL03,train
BL04,train
BL05,test
BL06,train
BL07,train
BL08,train
BL09,train
BL10,train
BL11,test
BL12,train
BL13,test
BL14,train
BL15,train
BL16,train
BL17,train
BL18,train
BL19,test
BL20,train
BL21,train
BL22,train
KP01,test
KP02,train
KP03,train
KP04,train
KP05,test
KP06,train
KP07,train
KP08,train
KP09,train
KP10,test
KP11,train
KP12,train
KP13,train
KP14,train
KP15,train
KP16,train
KP17,train
KP18,train
KP19,test
KP20,train
KP21,test
KP22,train
KP23,test
PB01,train
PB02,train
PB03,test
PB04,train
PB05,train
PB06,train
PB07,train
PB08,train
PB09,train
PB10,train
PB11,train
PB12,train
PB13,train
PB14,train
PB15,train
PB16,train
PB17,train
PB18,test
PB19,train
PB20,test
PB21,train
PB22,train
PB23,train
PB24,train
PB25,train
PB26,train
PB27,train
PB28,train
PB29,test
PB30,train
PB31,train
PB32,test
PB33,train
PB34,train
SD01,train
SD02,train
SD03,train
SD04,train
SD05,train
SD06,test
SD07,train
SD08,train
SD09,train
SD10,test
SD11,train
SD12,train
SD13,train
SD14,train
SD15,train
SD16,train
SD17,test
SD18,train
SD19,test
SD20,train
